ID,SCHOOL,DISTRICT,URBAN,FIRSTSUS,MALE,RACE,POVERTY,SPED,GRADE,enrolldate,exitdate,MONTH,GRADE7,GRADE8,INCIDENT,INC2,SCHLINC,SCHLENR,SCHLEXIT,SCHINC,SCHENRL,SCHEXIT,QUARTER,_st,_d,_t,_t0
13136,8448,3269,1,1,0,2,1,1,6,18141,18430,1,0,0,18157,2009-09-17,12,1,289,12,1,180,1,1,1,11,0
12509,7874,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18157,2009-09-17,12,1,289,12,1,180,1,1,1,11,0
12457,8444,3269,1,1,1,2,1,0,8,18141,18424,1,0,1,18157,2009-09-17,12,1,283,12,1,179,1,1,1,11,0
1131,7874,3269,1,1,1,2,1,1,8,18141,18424,1,0,1,18157,2009-09-17,12,1,283,12,1,179,1,1,1,11,0
84,7469,5621,0,1,1,5,1,0,8,18141,18422,1,0,1,18157,2009-09-17,12,1,281,12,1,177,1,1,1,11,0
8606,7874,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18157,2009-09-17,12,1,289,12,1,180,1,1,1,11,0
957,8631,3269,1,1,1,2,1,1,8,18141,18424,1,0,1,18158,2009-09-18,13,1,283,13,1,179,1,1,1,12,0
7726,7873,3269,1,1,0,2,1,0,7,18141,18430,1,1,0,18158,2009-09-18,13,1,289,13,1,180,1,1,1,12,0
12557,7874,3269,1,1,1,2,1,1,7,18141,18337,1,1,0,18158,2009-09-18,13,1,196,13,1,123,1,1,1,12,0
545,7874,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18158,2009-09-18,13,1,289,13,1,180,1,1,1,12,0
7676,7977,3269,1,1,1,2,0,1,7,18141,18430,1,1,0,18158,2009-09-18,13,1,289,13,1,180,1,1,1,12,0
7523,8448,3269,1,1,0,2,0,1,8,18141,18319,1,0,1,18158,2009-09-18,13,1,178,13,1,112,1,1,1,12,0
1808,7873,3269,1,1,1,5,1,1,6,18141,18430,1,0,0,18158,2009-09-18,13,1,289,13,1,180,1,1,1,12,0
8271,7873,3269,1,1,1,3,1,0,6,18151,18424,1,0,0,18158,2009-09-18,13,8,283,13,8,179,1,1,1,12,7
8330,7874,3269,1,1,1,2,1,1,8,18141,18424,1,0,1,18158,2009-09-18,13,1,283,13,1,179,1,1,1,12,0
7471,39604,5656,0,1,1,2,1,0,7,18141,18424,1,1,0,18158,2009-09-18,13,1,283,13,1,179,1,1,1,12,0
9522,7874,3269,1,1,1,5,1,1,8,18141,18424,1,0,1,18158,2009-09-18,13,1,283,13,1,179,1,1,1,12,0
6654,7874,3269,1,1,0,2,1,0,7,18141,18424,1,1,0,18158,2009-09-18,13,1,283,13,1,179,1,1,1,12,0
9758,7977,3269,1,1,0,2,1,0,7,18141,18430,1,1,0,18161,2009-09-21,14,1,289,14,1,180,1,1,1,13,0
12806,8448,3269,1,1,1,2,1,1,8,18141,18424,1,0,1,18162,2009-09-22,15,1,283,15,1,179,1,1,1,14,0
6893,7874,3269,1,1,1,2,1,1,6,18141,18205,1,0,0,18162,2009-09-22,15,1,64,15,1,44,1,1,1,14,0
8053,8448,3269,1,1,1,2,1,1,8,18141,18198,1,0,1,18162,2009-09-22,15,1,57,15,1,41,1,1,1,14,0
12494,7736,3269,1,1,0,2,1,1,6,18144,18430,1,0,0,18162,2009-09-22,15,4,289,15,4,180,1,1,1,14,3
1143,7977,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18162,2009-09-22,15,1,289,15,1,180,1,1,1,14,0
6402,39604,5656,0,1,1,2,1,0,7,18141,18424,1,1,0,18162,2009-09-22,15,1,283,15,1,179,1,1,1,14,0
623,39604,5656,0,1,1,5,0,1,8,18141,18424,1,0,1,18162,2009-09-22,15,1,283,15,1,179,1,1,1,14,0
6707,8582,3269,1,1,1,2,1,1,8,18141,18424,1,0,1,18162,2009-09-22,15,1,283,15,1,179,1,1,1,14,0
9130,7977,3269,1,1,1,3,1,0,6,18141,18430,1,0,0,18162,2009-09-22,15,1,289,15,1,180,1,1,1,14,0
6649,8582,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18162,2009-09-22,15,1,289,15,1,180,1,1,1,14,0
8101,8631,3269,1,1,1,2,1,1,6,18143,18430,1,0,0,18162,2009-09-22,15,3,289,15,3,180,1,1,1,14,2
2257,7874,3269,1,1,1,2,1,0,7,18141,18430,1,1,0,18162,2009-09-22,15,1,289,15,1,180,1,1,1,14,0
9463,8448,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18163,2009-09-23,16,1,289,16,1,180,1,1,1,15,0
9383,8448,3269,1,1,1,2,0,1,8,18141,18424,1,0,1,18163,2009-09-23,16,1,283,16,1,179,1,1,1,15,0
7952,8448,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18163,2009-09-23,16,1,289,16,1,180,1,1,1,15,0
